Category,Code,Title_en,Description_en,Source
,seniorDebt,Senior debt,Senior debt (sometimes called senior loans) take priority over other more junior debt,
,mezannineDebt,Mezannine debt,Mezzanine debt (sometimes called mezzanine loans) take priority over common shares,
,otherDebt,Other debts or investments,,
,guarantee,Guarantee,A guarantee is a promise by one party to assume the debt of another if the other defaults. Guarantees should not be counted in totals of the overall financing of a project,
,grant,Grant,A grant is finance provided without expectation of repayment,
